"Year" "Province" "Cause" "TotalFire"
1970 "QC" "MAN" 7
1970 "SK" "LTG" 40
1970 "SK" "MAN" 4
1971 "AB" "LTG" 19
1971 "AB" "MAN" 4
1971 "AB" "UNK" 1
1971 "BC" "LTG" 64
1971 "BC" "MAN" 40
1971 "MB" "LTG" 2
1971 "MB" "MAN" 12
1971 "NL" "LTG" 1
1971 "NL" "MAN" 2
1971 "NL" "UNK" 1
1971 "NT" "LTG" 42
1971 "NT" "MAN" 6
1971 "NT" "UNK" 2
1971 "ON" "LTG" 8
1971 "ON" "MAN" 8
1971 "QC" "LTG" 13
1971 "QC" "MAN" 13
1971 "QC" "UNK" 3
1971 "SK" "LTG" 15
1971 "SK" "MAN" 3
1971 "SK" "UNK" 1
1971 "YT" "LTG" 35
1971 "YT" "MAN" 1
1972 "AB" "LTG" 16
1972 "AB" "MAN" 1
1972 "BC" "LTG" 5
1972 "BC" "MAN" 12
1972 "MB" "LTG" 21
1972 "MB" "MAN" 10
1972 "NL" "LTG" 17
1972 "NL" "MAN" 1
1972 "NL" "UNK" 1
1972 "NT" "LTG" 45
1972 "NT" "MAN" 1
1972 "NT" "UNK" 3
1972 "ON" "LTG" 15
1972 "ON" "MAN" 5
1972 "QC" "LTG" 23
1972 "QC" "MAN" 15
1972 "YT" "LTG" 21
1972 "YT" "MAN" 1
1973 "AB" "MAN" 3
1973 "BC" "LTG" 8
1973 "BC" "MAN" 25
1973 "MB" "LTG" 13
1973 "MB" "MAN" 28
1973 "NL" "LTG" 7
1973 "NL" "MAN" 1
1973 "NT" "LTG" 83
1973 "NT" "MAN" 3
1973 "ON" "LTG" 3
1973 "ON" "MAN" 2
1973 "QC" "LTG" 8
1973 "QC" "MAN" 6
1973 "YT" "LTG" 3
1974 "AB" "LTG" 5
1974 "AB" "MAN" 1
1974 "BC" "LTG" 5
1974 "BC" "MAN" 13
1974 "MB" "LTG" 29
1974 "MB" "MAN" 6
1974 "NL" "LTG" 13
1974 "NL" "MAN" 5
1974 "NT" "LTG" 7
1974 "ON" "LTG" 53
1974 "ON" "MAN" 5
1974 "ON" "UNK" 2
1974 "QC" "LTG" 20
1974 "QC" "MAN" 6
1974 "YT" "LTG" 5
1975 "AB" "LTG" 2
1975 "BC" "LTG" 5
1975 "BC" "MAN" 13
1975 "MB" "LTG" 13
1975 "MB" "MAN" 11
1975 "NL" "LTG" 6
1975 "NL" "MAN" 6
1975 "NT" "LTG" 62
1975 "NT" "MAN" 1
1975 "NT" "UNK" 7
1975 "ON" "LTG" 6
1975 "ON" "MAN" 8
1975 "ON" "UNK" 4
1975 "QC" "LTG" 8
1975 "QC" "MAN" 9
1975 "YT" "LTG" 16
1976 "AB" "MAN" 5
1976 "AB" "UNK" 1
1976 "BC" "LTG" 3
1976 "BC" "MAN" 16
1976 "MB" "LTG" 28
1976 "MB" "MAN" 44
1976 "NL" "LTG" 23
1976 "NL" "MAN" 6
1976 "NL" "UNK" 3
1976 "NT" "LTG" 68
1976 "NT" "MAN" 2
1976 "NT" "UNK" 6
1976 "ON" "LTG" 89
1976 "ON" "MAN" 17
1976 "ON" "UNK" 1
1976 "QC" "LTG" 61
1976 "QC" "MAN" 13
1976 "SK" "LTG" 9
1976 "YT" "LTG" 5
1977 "AB" "LTG" 3
1977 "AB" "MAN" 7
1977 "BC" "MAN" 3
1977 "MB" "LTG" 33
1977 "MB" "MAN" 48
1977 "NL" "MAN" 1
1977 "NL" "UNK" 2
1977 "NT" "LTG" 35
1977 "NT" "MAN" 5
1977 "NT" "UNK" 1
1977 "ON" "LTG" 40
1977 "ON" "MAN" 8
1977 "QC" "LTG" 9
1977 "QC" "MAN" 5
1977 "SK" "LTG" 21
1977 "SK" "MAN" 8
1977 "YT" "LTG" 19
1977 "YT" "MAN" 1
1978 "AB" "LTG" 6
1978 "BC" "LTG" 12
1978 "BC" "MAN" 7
1978 "MB" "LTG" 8
1978 "MB" "MAN" 5
1978 "NL" "MAN" 4
1978 "NT" "LTG" 11
1978 "NT" "MAN" 2
1978 "ON" "LTG" 3
1978 "ON" "MAN" 2
1978 "ON" "UNK" 1
1978 "QC" "LTG" 2
1978 "QC" "MAN" 5
1978 "SK" "LTG" 12
1978 "YT" "LTG" 2
1979 "AB" "LTG" 15
1979 "AB" "MAN" 2
1979 "BC" "LTG" 5
1979 "BC" "MAN" 19
1979 "MB" "LTG" 26
1979 "MB" "MAN" 4
1979 "NL" "LTG" 3
1979 "NL" "MAN" 7
1979 "NT" "LTG" 92
1979 "NT" "MAN" 2
1979 "ON" "LTG" 20
1979 "ON" "UNK" 2
1979 "QC" "LTG" 3
1979 "QC" "MAN" 1
1979 "SK" "LTG" 45
1979 "SK" "MAN" 2
1979 "YT" "LTG" 4
1980 "AB" "LTG" 25
1980 "AB" "MAN" 16
1980 "BC" "LTG" 10
1980 "BC" "MAN" 27
1980 "MB" "LTG" 68
1980 "MB" "MAN" 38
1980 "NB" "MAN" 2
1980 "NL" "MAN" 1
1980 "NS" "MAN" 1
1980 "NT" "LTG" 48
1980 "NT" "MAN" 2
1980 "ON" "LTG" 42
1980 "ON" "MAN" 10
1980 "ON" "UNK" 7
1980 "QC" "LTG" 10
1980 "QC" "MAN" 6
1980 "SK" "LTG" 76
1980 "SK" "MAN" 18
1980 "SK" "UNK" 1
1980 "YT" "LTG" 13
1980 "YT" "MAN" 5
1981 "AB" "LTG" 22
1981 "AB" "MAN" 5
1981 "BC" "LTG" 22
1981 "BC" "MAN" 16
1981 "MB" "LTG" 48
1981 "MB" "MAN" 24
1981 "NL" "MAN" 3
1981 "NT" "LTG" 28
1981 "NT" "MAN" 2
1981 "NT" "UNK" 2
1981 "ON" "LTG" 42
1981 "ON" "MAN" 6
1981 "ON" "UNK" 4
1981 "QC" "LTG" 25
1981 "QC" "MAN" 1
1981 "SK" "LTG" 121
1981 "SK" "MAN" 19
1981 "YT" "LTG" 3
1982 "AB" "LTG" 54
1982 "AB" "MAN" 2
1982 "AB" "UNK" 1
1982 "BC" "LTG" 24
1982 "BC" "MAN" 19
1982 "MB" "LTG" 7
1982 "MB" "MAN" 10
1982 "NB" "MAN" 3
1982 "NL" "LTG" 2
1982 "NL" "MAN" 1
1982 "NT" "LTG" 55
1982 "NT" "MAN" 3
1982 "ON" "LTG" 3
1982 "ON" "MAN" 1
1982 "QC" "LTG" 20
1982 "QC" "MAN" 3
1982 "SK" "LTG" 20
1982 "SK" "MAN" 7
1982 "YT" "LTG" 26
1983 "AB" "MAN" 3
1983 "BC" "MAN" 20
1983 "MB" "LTG" 10
1983 "MB" "MAN" 6
1983 "NB" "MAN" 1
1983 "NL" "LTG" 5
1983 "NL" "MAN" 1
1983 "NT" "LTG" 70
1983 "ON" "LTG" 73
1983 "ON" "MAN" 2
1983 "ON" "UNK" 2
1983 "QC" "LTG" 64
1983 "QC" "MAN" 4
1983 "SK" "LTG" 19
1983 "SK" "MAN" 6
1983 "YT" "LTG" 30
1984 "AB" "LTG" 13
1984 "AB" "MAN" 9
1984 "BC" "LTG" 6
1984 "BC" "MAN" 6
1984 "MB" "LTG" 17
1984 "MB" "MAN" 39
1984 "NL" "LTG" 2
1984 "NL" "MAN" 1
1984 "NT" "LTG" 33
1984 "ON" "LTG" 13
1984 "ON" "MAN" 7
1984 "ON" "UNK" 3
1984 "QC" "LTG" 2
1984 "SK" "LTG" 45
1984 "SK" "MAN" 11
1984 "YT" "LTG" 14
1985 "AB" "LTG" 4
1985 "AB" "MAN" 2
1985 "BC" "LTG" 45
1985 "BC" "MAN" 46
1985 "MB" "LTG" 11
1985 "MB" "MAN" 2
1985 "NB" "MAN" 5
1985 "NL" "LTG" 14
1985 "NL" "MAN" 6
1985 "NT" "LTG" 22
1985 "QC" "LTG" 15
1985 "QC" "MAN" 2
1985 "SK" "LTG" 18
1985 "SK" "MAN" 5
1985 "YT" "LTG" 5
1985 "YT" "MAN" 2
1986 "AB" "LTG" 3
1986 "BC" "LTG" 4
1986 "BC" "MAN" 13
1986 "MB" "LTG" 2
1986 "MB" "MAN" 3
1986 "NB" "MAN" 10
1986 "NL" "LTG" 4
1986 "NL" "MAN" 14
1986 "NT" "LTG" 24
1986 "ON" "LTG" 10
1986 "ON" "MAN" 4
1986 "ON" "UNK" 7
1986 "QC" "LTG" 20
1986 "SK" "LTG" 7
1986 "SK" "MAN" 3
1986 "YT" "LTG" 35
1986 "YT" "MAN" 4
1987 "AB" "LTG" 3
1987 "AB" "MAN" 12
1987 "BC" "LTG" 8
1987 "BC" "MAN" 19
1987 "MB" "LTG" 31
1987 "MB" "MAN" 13
1987 "NB" "MAN" 1
1987 "NL" "LTG" 4
1987 "NL" "MAN" 5
1987 "NT" "LTG" 82
1987 "ON" "LTG" 20
1987 "ON" "MAN" 12
1987 "ON" "UNK" 4
1987 "QC" "LTG" 10
1987 "QC" "MAN" 6
1987 "SK" "LTG" 36
1987 "SK" "MAN" 8
1987 "YT" "LTG" 13
1988 "AB" "LTG" 2
1988 "AB" "MAN" 7
1988 "BC" "LTG" 1
1988 "BC" "MAN" 13
1988 "MB" "LTG" 72
1988 "MB" "MAN" 27
1988 "NB" "MAN" 1
1988 "NL" "LTG" 2
1988 "NT" "LTG" 18
1988 "ON" "LTG" 78
1988 "ON" "MAN" 4
1988 "QC" "LTG" 25
1988 "QC" "MAN" 10
1988 "SK" "LTG" 19
1988 "SK" "MAN" 7
1988 "YT" "LTG" 5
1989 "AB" "MAN" 6
1989 "BC" "LTG" 4
1989 "BC" "MAN" 15
1989 "MB" "LTG" 197
1989 "MB" "MAN" 45
1989 "NL" "LTG" 1
1989 "NL" "MAN" 6
1989 "NT" "LTG" 134
1989 "NT" "MAN" 1
1989 "NT" "UNK" 1
1989 "ON" "LTG" 121
1989 "ON" "MAN" 4
1989 "QC" "LTG" 49
1989 "SK" "LTG" 112
1989 "SK" "MAN" 17
1989 "YT" "LTG" 52
1989 "YT" "MAN" 5
1990 "AB" "LTG" 13
1990 "AB" "MAN" 2
1990 "AB" "UNK" 2
1990 "BC" "LTG" 15
1990 "BC" "MAN" 17
1990 "MB" "LTG" 10
1990 "MB" "MAN" 7
1990 "NB" "MAN" 2
1990 "NL" "LTG" 10
1990 "NL" "MAN" 4
1990 "NS" "MAN" 2
1990 "NT" "LTG" 17
1990 "ON" "LTG" 42
1990 "ON" "MAN" 5
1990 "QC" "LTG" 29
1990 "QC" "MAN" 4
1990 "SK" "LTG" 38
1990 "SK" "MAN" 3
1990 "YT" "LTG" 19
1990 "YT" "MAN" 2
1991 "AB" "LTG" 4
1991 "AB" "MAN" 1
1991 "BC" "LTG" 8
1991 "BC" "MAN" 14
1991 "MB" "LTG" 21
1991 "MB" "MAN" 27
1991 "NB" "MAN" 2
1991 "NL" "LTG" 19
1991 "NL" "MAN" 1
1991 "NS" "MAN" 1
1991 "NT" "LTG" 40
1991 "NT" "UNK" 1
1991 "ON" "LTG" 45
1991 "ON" "MAN" 9
1991 "QC" "LTG" 31
1991 "QC" "MAN" 3
1991 "SK" "LTG" 32
1991 "SK" "MAN" 10
1991 "YT" "LTG" 42
1991 "YT" "MAN" 1
1992 "AB" "MAN" 2
1992 "BC" "LTG" 10
1992 "BC" "MAN" 9
1992 "MB" "LTG" 17
1992 "MB" "MAN" 8
1992 "NB" "MAN" 3
1992 "NL" "LTG" 1
1992 "NL" "MAN" 2
1992 "NS" "MAN" 1
1992 "NT" "LTG" 24
1992 "NT" "MAN" 1
1992 "ON" "LTG" 22
1992 "ON" "MAN" 5
1992 "QC" "LTG" 10
1992 "QC" "MAN" 5
1992 "SK" "LTG" 14
1992 "SK" "MAN" 9
1992 "YT" "LTG" 9
1992 "YT" "MAN" 1
1993 "AB" "LTG" 15
1993 "BC" "LTG" 3
1993 "BC" "MAN" 1
1993 "MB" "LTG" 11
1993 "MB" "MAN" 6
1993 "NB" "LTG" 1
1993 "NL" "LTG" 10
1993 "NT" "LTG" 67
1993 "ON" "LTG" 11
1993 "ON" "MAN" 5
1993 "QC" "LTG" 5
1993 "QC" "MAN" 1
1993 "SK" "LTG" 26
1993 "SK" "MAN" 19
1993 "YT" "LTG" 21
1994 "AB" "LTG" 10
1994 "AB" "MAN" 3
1994 "BC" "LTG" 11
1994 "BC" "MAN" 6
1994 "MB" "LTG" 59
1994 "MB" "MAN" 8
1994 "NL" "LTG" 5
1994 "NL" "MAN" 1
1994 "NT" "LTG" 89
1994 "NT" "MAN" 18
1994 "ON" "LTG" 30
1994 "ON" "MAN" 2
1994 "QC" "LTG" 19
1994 "SK" "LTG" 52
1994 "SK" "MAN" 4
1994 "YT" "LTG" 67
1995 "AB" "LTG" 11
1995 "AB" "MAN" 5
1995 "AB" "UNK" 1
1995 "BC" "UNK" 11
1995 "MB" "LTG" 77
1995 "MB" "MAN" 6
1995 "NL" "LTG" 2
1995 "NT" "LTG" 38
1995 "NT" "MAN" 4
1995 "ON" "LTG" 101
1995 "ON" "MAN" 11
1995 "QC" "LTG" 51
1995 "QC" "MAN" 8
1995 "SK" "LTG" 74
1995 "SK" "MAN" 7
1995 "YT" "LTG" 26
1995 "YT" "MAN" 1
1996 "AB" "LTG" 2
1996 "AB" "MAN" 1
1996 "BC" "UNK" 7
1996 "MB" "LTG" 37
1996 "MB" "MAN" 2
1996 "NB" "LTG" 1
1996 "NB" "MAN" 1
1996 "NL" "LTG" 24
1996 "NL" "MAN" 1
1996 "NT" "LTG" 76
1996 "NT" "MAN" 3
1996 "ON" "LTG" 120
1996 "ON" "MAN" 2
1996 "ON" "UNK" 3
1996 "QC" "LTG" 120
1996 "QC" "MAN" 6
1996 "SK" "LTG" 8
1996 "SK" "MAN" 2
1996 "YT" "LTG" 21
1996 "YT" "MAN" 1
1997 "AB" "MAN" 4
1997 "BC" "UNK" 1
1997 "MB" "LTG" 24
1997 "MB" "MAN" 1
1997 "NL" "LTG" 1
1997 "NL" "MAN" 1
1997 "NT" "LTG" 11
1997 "ON" "LTG" 14
1997 "ON" "MAN" 1
1997 "ON" "UNK" 1
1997 "QC" "LTG" 55
1997 "QC" "MAN" 1
1997 "SK" "LTG" 5
1997 "SK" "MAN" 2
1997 "YT" "LTG" 4
1998 "AB" "LTG" 56
1998 "AB" "MAN" 10
1998 "AB" "UNK" 1
1998 "BC" "UNK" 25
1998 "MB" "LTG" 36
1998 "MB" "MAN" 8
1998 "NL" "LTG" 10
1998 "NL" "MAN" 1
1998 "NT" "LTG" 96
1998 "NT" "MAN" 1
1998 "ON" "LTG" 61
1998 "ON" "MAN" 4
1998 "ON" "UNK" 1
1998 "QC" "LTG" 37
1998 "QC" "MAN" 8
1998 "SK" "LTG" 80
1998 "SK" "MAN" 15
1998 "YT" "LTG" 27
1998 "YT" "MAN" 7
1999 "AB" "LTG" 40
1999 "AB" "MAN" 3
1999 "BC" "UNK" 13
1999 "MB" "LTG" 18
1999 "MB" "MAN" 25
1999 "NB" "LTG" 1
1999 "NB" "MAN" 1
1999 "NL" "LTG" 2
1999 "NL" "MAN" 7
1999 "NS" "MAN" 1
1999 "NT" "LTG" 28
1999 "NT" "MAN" 1
1999 "ON" "LTG" 27
1999 "ON" "MAN" 15
1999 "QC" "LTG" 11
1999 "QC" "MAN" 6
1999 "SK" "LTG" 33
1999 "SK" "MAN" 4
1999 "YT" "LTG" 35
1999 "YT" "MAN" 1
