Year,Month,Day,Province,Fire_ID,Latitude,Longitude,Start_Date,Detect_Date,Cause,Size,Fire_Region,Fire_Zone,EcoZone,EcoRegion,EcoDistrict
1959,7,3,BC,4090141,59.2,-123.1,7/3/59,0/0/00,LTG,247.60,PrG,INT,4,64,244
1959,7,3,BC,4090142,58.9,-122.6,7/3/59,0/0/00,LTG,36211.30,PrG,INT,4,64,244
1959,7,8,BC,4090151,59.6,-126.6,7/8/59,0/0/00,MAN,1553.90,PrG,INT,12,181,929
1959,7,20,BC,6020118,50.2,-115.2,7/20/59,0/0/00,LTG,337.90,NEL,INT,14,206,995
1959,8,3,BC,6020195,50.3,-116,8/3/59,0/0/00,MAN,751.90,NEL,INT,14,205,989
1959,5,12,BC,7010012,52.5,-122.3,5/12/59,0/0/00,MAN,283.20,CAR,INT,14,202,976
1959,5,13,BC,7020132,52.1,-121.7,5/13/59,0/0/00,MAN,1027.90,CAR,INT,14,202,976
1959,5,11,BC,7020162,51.7,-123,5/11/59,5/12/59,MAN,1214.00,CAR,INT,14,202,977
1959,5,12,BC,7020192,51.6,-122.2,5/12/59,0/0/00,MAN,220.60,CAR,INT,14,202,979
1959,7,10,BC,7020264,51.8,-122.8,7/10/59,7/10/59,MAN,242.80,CAR,INT,14,202,977
1959,7,18,BC,7020296,51.7,-122.9,7/18/59,7/18/59,MAN,1011.70,CAR,INT,14,202,977
1959,7,31,BC,7020321,52,-122.9,7/31/59,7/31/59,MAN,3844.50,CAR,INT,14,202,977
1959,5,12,BC,7040348,51.5,-122.2,5/12/59,0/0/00,MAN,360.10,CAR,INT,14,202,978
1959,5,11,BC,7050137,51.8,-123.3,5/11/59,0/0/00,MAN,1214.00,CAR,INT,14,202,977
1959,5,12,BC,7050139,52.3,-123.1,5/12/59,0/0/00,MAN,283.20,CAR,INT,14,202,977
1959,6,1,BC,7050213,52.2,-123.1,6/1/59,6/1/59,MAN,202.30,CAR,INT,14,202,977
1959,5,30,BC,7050218,52,-123.1,5/30/59,5/30/59,MAN,242.80,CAR,INT,14,202,977
1959,6,18,BC,7050248,52.1,-123,6/18/59,6/18/59,MAN,323.70,CAR,INT,14,202,977
1959,6,17,BC,7050257,52.1,-123.1,6/17/59,6/17/59,MAN,323.70,CAR,INT,14,202,977
1959,7,5,BC,7050263,51.8,-123.2,7/5/59,7/6/59,MAN,2428.10,CAR,INT,14,202,977
1959,7,8,BC,7050265,51.8,-124.5,7/8/59,7/8/59,MAN,696.00,CAR,INT,14,202,977
1959,7,9,BC,7050274,51.8,-124.4,7/9/59,7/9/59,MAN,1568.10,CAR,INT,14,202,977
1959,7,10,BC,7050275,52.3,-123,7/10/59,7/10/59,MAN,1214.00,CAR,INT,14,202,977
1959,7,18,BC,7050294,51.7,-124.2,7/18/59,7/18/59,MAN,323.70,CAR,INT,14,202,977
1959,7,18,BC,7050295,51.8,-124.5,7/18/59,7/18/59,MAN,1214.00,CAR,INT,14,202,977
1959,7,21,BC,7050302,51.6,-123.9,7/21/59,7/21/59,MAN,3541.00,CAR,INT,14,202,977
1959,7,29,BC,7050310,52.4,-123.1,7/29/59,7/29/59,MAN,1889.80,CAR,INT,14,202,974
1959,5,21,MB,59-15,52.387,-100.846,5/21/59,5/21/59,MAN,251.01,W,INT,9,155,717
1959,5,23,MB,59-18,52.569,-100.87,5/23/59,5/24/59,LTG,291.50,W,INT,9,155,717
1959,5,24,MB,59-19,52.605,-101.002,5/24/59,5/24/59,MAN,216.60,W,INT,9,155,717
1959,5,22,MB,59-23,52.598,-100.978,5/22/59,5/23/59,LTG,595.14,W,INT,9,155,717
1959,7,11,MB,59-D21,57.117,-101.917,7/11/59,7/12/59,MAN,6388.66,N,INT,6,88,344
1959,7,15,MB,59-D24,56.483,-100.233,7/15/59,7/17/59,LTG,663.16,N,INT,6,88,349
1959,6,26,NF,NA,48.43,-55.02,6/26/59,0/0/00,MAN,324.00,NA,NA,6,114,472
1959,7,12,NF,NA,53.4,-60.19,7/12/59,0/0/00,MAN,1814.00,NA,NA,6,105,452
1959,7,28,NF,NA,49.55,-56.85,7/28/59,0/0/00,MAN,1178.00,NA,NA,6,107,456
1959,7,28,NF,NA,49.6,-56.43,7/28/59,0/0/00,MAN,10261.00,NA,NA,6,112,466
1959,6,25,NF,NA,48.75,-56.68,6/25/59,0/0/00,MAN,890.00,NA,NA,6,112,467
1959,6,9,NWT,59FGH1,66.05,-128.23,6/9/59,0/0/00,UNK,3600.00,NA,NA,4,55,216
1959,6,19,NWT,59FGH3,66.03,-129.85,6/19/59,0/0/00,UNK,3440.00,NA,NA,4,53,213
1959,6,19,NWT,59FGH4,66.2,-129.97,6/19/59,0/0/00,MAN,14400.00,NA,NA,4,53,213
1959,7,10,NWT,59FN6,64.63,-125.2,7/10/59,0/0/00,LTG,220.00,NA,NA,4,56,220
1959,7,2,NWT,59FN8,64.4,-126,7/2/59,0/0/00,UNK,2400.00,NA,NA,4,56,221
1959,6,29,NWT,59FS2,61.92,-122.75,6/29/59,0/0/00,LTG,3120.00,NA,NA,4,62,235
1959,7,8,NWT,59FS3,62.95,-122.3,7/8/59,7/18/59,LTG,1000.00,NA,NA,4,55,219
1959,7,3,NWT,59FS6,63.08,-123.92,7/3/59,7/18/59,LTG,3600.00,NA,NA,4,56,222
1959,7,15,NWT,59FS8,61.8,-123.02,7/15/59,0/0/00,LTG,720.00,NA,NA,4,62,235
1959,7,10,NWT,59FS9,61.92,-122.3,7/10/59,0/0/00,LTG,280.00,NA,NA,4,62,235
1959,7,18,NWT,59HY10,60.08,-118.78,7/18/59,7/28/59,LTG,1320.00,NA,NA,4,65,251
1959,7,23,NWT,59HY11,60.03,-118.77,7/23/59,7/28/59,LTG,580.00,NA,NA,4,65,251
1959,7,5,NWT,59HY3,61.75,-116.37,7/5/59,0/0/00,LTG,800.00,NA,NA,4,60,232
1959,7,6,NWT,59HY6,62.05,-119.22,7/6/59,7/6/59,UNK,600.00,NA,NA,4,63,237
1959,7,10,NWT,59RAE10,65.73,-119.5,7/10/59,0/0/00,LTG,768.00,NA,NA,4,52,204
1959,7,4,NWT,59RAE6,62.67,-116.43,7/4/59,0/0/00,LTG,520.00,NA,NA,4,60,232
1959,7,4,NWT,59RAE7,62.67,-116.58,7/4/59,0/0/00,LTG,1600.00,NA,NA,4,60,232
1959,7,6,NWT,59ZF7,62.63,-113.22,7/6/59,0/0/00,MAN,1360.00,NA,NA,5,69,260
1959,7,8,ON,ELKL04,47.9375,-80.375,7/8/59,0/0/00,MAN,239.00,ELKL,INT,6,97,409
1959,6,5,PQ,100028,48.97475,-66.47737,6/5/59,6/5/59,MAN,768.92,10,INT,7,117,478
1959,7,15,PQ,100056,48.96525,-66.76541,7/15/59,7/15/59,MAN,4817.48,10,INT,7,117,478
1959,7,13,PQ,100060,48.82128,-67.06725,7/13/59,7/13/59,UNK,323.76,10,INT,7,117,478
1959,7,26,PQ,100069,48.78304,-67.24492,7/26/59,7/26/59,UNK,313.64,10,INT,7,117,479
1959,7,10,PQ,10028,48.4385,-78.20571,7/10/59,7/10/59,MAN,283.00,1,INT,6,96,401
1959,7,14,PQ,10032,48.72131,-77.57033,7/14/59,7/15/59,MAN,323.76,1,INT,6,96,401
1959,6,25,PQ,110005,50.75132,-59.56864,6/25/59,6/25/59,LTG,2416.03,11,INT,6,103,446
1959,7,21,PQ,110006,51.50299,-59.11227,7/21/59,7/21/59,LTG,2072.04,11,INT,6,103,444
1959,9,14,PQ,110008,50.25055,-60.06999,9/14/59,9/14/59,LTG,667.75,11,INT,6,103,446
1959,5,28,PQ,120001,47.86914,-70.75708,5/28/59,5/28/59,MAN,1952.89,12,INT,6,99,418
1959,7,20,PQ,20025,49.81319,-79.26428,7/20/59,7/20/59,MAN,283.29,2,INT,6,96,398
1959,5,26,PQ,240002,49.10056,-64.82147,5/26/59,5/26/59,LTG,1821.13,24,INT,7,117,478
1959,6,12,PQ,240004,47.56752,-68.49813,6/12/59,6/12/59,LTG,364.23,24,INT,7,118,487
1959,7,24,PQ,240011,49.04003,-66.36276,7/24/59,7/24/59,MAN,13856.74,24,INT,7,117,478
1959,7,27,PQ,240014,48.12132,-67.2138,7/27/59,7/27/59,LTG,445.16,24,INT,7,117,481
1959,7,27,PQ,240015,48.59402,-65.04532,7/27/59,7/27/59,LTG,1023.88,24,INT,7,117,478
1959,7,29,PQ,250057,47.90679,-77.84683,7/29/59,7/29/59,MAN,242.82,25,INT,6,96,401
1959,5,28,PQ,260028,48.76579,-69.55486,5/28/59,5/28/59,MAN,639.42,26,INT,6,101,440
1959,6,18,PQ,260038,48.28696,-71.96743,6/18/59,6/18/59,MAN,518.01,26,INT,6,99,415
1959,8,6,PQ,260068,48.68445,-70.06542,8/6/59,8/6/59,MAN,346.82,26,INT,6,101,440
1959,5,10,PQ,270006,47.4705,-77.31835,5/10/59,5/10/59,MAN,263.05,27,INT,6,99,420
1959,5,13,PQ,290010,46.65257,-74.15032,5/13/59,5/13/59,LTG,453.26,29,INT,6,99,426
1959,7,17,PQ,70015,48.93069,-73.48047,7/17/59,7/17/59,LTG,433.02,7,INT,6,99,414
1959,5,23,SK,15,53.856,-109.03,5/23/60,0/0/00,MAN,874.49,MEADOW LAKE,INT,9,150,710
1959,5,8,SK,16,53.634,-108.691,5/8/60,0/0/00,MAN,1068.82,MEADOW LAKE,INT,9,150,711
1959,5,24,SK,17,54.318,-105.586,5/24/60,0/0/00,MAN,242.91,MEADOW LAKE,INT,9,147,656
1959,6,6,SK,20,53.758,-107.71,6/6/60,0/0/00,MAN,242.91,MEADOW LAKE,INT,9,149,682
1959,6,10,SK,22,54.92,-109.4,6/10/60,0/0/00,LTG,283.40,MEADOW LAKE,INT,9,147,648
1959,6,8,SK,27,53.602,-104.206,6/8/59,0/0/00,MAN,323.88,PRINCE ALBERT,INT,9,149,693
1959,7,21,SK,35,58.57,-109,7/21/60,0/0/00,LTG,2226.72,NORTHERN REGION,EXT,6,87,338
1959,7,14,SK,49,58.05,-106.95,7/14/60,0/0/00,LTG,4655.87,NORTHERN REGION,EXT,6,87,341
1959,7,17,SK,50,58.17,-106.95,7/17/60,0/0/00,LTG,485.82,NORTHERN REGION,EXT,6,87,336
1959,5,19,SK,6,53.762,-109.017,5/19/60,0/0/00,MAN,518.21,MEADOW LAKE,INT,9,150,710
1959,7,15,SK,62,58.62,-110,7/15/60,0/0/00,LTG,202.42,NORTHERN REGION,EXT,6,87,331
1959,5,12,SK,7,53.769,-109.079,5/12/60,0/0/00,MAN,404.85,MEADOW LAKE,INT,9,150,710
1959,7,16,WBNP,59WB008,58.417,-112.75,7/16/59,0/0/00,LTG,202.30,NA,NA,9,136,578
1959,6,20,YK,195900022,66.175,-137.228,6/20/59,0/0/00,LTG,404.00,DA,NA,11,169,868
1959,6,20,YK,195900023,60.76,-137.56,6/20/59,0/0/00,MAN,358.85,HJ,NA,12,174,892
1959,6,20,YK,195900024,64.017,-136.3,6/20/59,0/0/00,LTG,392.30,MA,NA,12,176,898
1959,6,23,YK,195900025,66.167,-139,6/23/59,0/0/00,LTG,290.12,DA,NA,11,168,864
1959,6,23,YK,195900026,64.572,-140.573,6/23/59,0/0/00,LTG,2991.19,DA,NA,12,172,881
1959,6,26,YK,195900029,63.683,-139.483,6/26/59,0/0/00,LTG,269.83,DA,NA,12,172,881
1959,6,24,YK,195900030,63.324,-134.28,6/24/59,0/0/00,LTG,23486.67,MA,NA,12,176,901
1959,6,28,YK,195900031,65.663,-137.245,6/28/59,0/0/00,LTG,218.38,DA,NA,11,168,866
1959,6,28,YK,195900034,64.583,-139.75,6/28/59,0/0/00,LTG,433.05,DA,NA,11,170,872
1959,7,2,YK,195900039,65.55,-139.15,7/2/59,0/0/00,LTG,296.96,DA,NA,11,168,865
1959,7,4,YK,195900043,63.7,-133.5,7/4/59,0/0/00,LTG,2055.84,MA,NA,12,176,899
1959,7,10,YK,195900048,60.605,-130.166,7/10/59,0/0/00,LTG,1051.03,WL,NA,12,178,914
1959,7,22,YK,195900053,66.23,-136.35,7/22/59,0/0/00,LTG,6853.78,DA,NA,11,169,868
1960,0,0,AB,16-1-60,0,0,0/0/00,0/0/00,MAN,206.00,16,NA,0,0,0
1960,5,15,AB,30-6-60,58.287,-115.942,5/15/60,5/15/60,MAN,1578.95,30,NA,9,138,586
1960,0,0,AB,41-4-60,0,0,0/0/00,0/0/00,LTG,1477.00,41,NA,0,0,0
1960,0,0,AB,61-4-60,59.6431,-117.0881,0/0/00,0/0/00,LTG,403.00,61,NA,4,64,242
1960,0,0,AB,62-1-60,58.3916,-116.6882,0/0/00,0/0/00,MAN,6926.00,62,NA,9,138,587
1960,0,0,AB,62-5-60,58.9807,-115.4086,0/0/00,0/0/00,LTG,465.00,62,NA,4,67,254
1960,7,12,BC,2010285,49.7,-121.8,7/12/60,7/12/60,MAN,2596.40,VAN,INT,13,192,950
1960,4,25,BC,3030006,54.7,-127,4/25/60,0/0/00,MAN,299.40,PrR,INT,14,202,972
1960,7,24,BC,4010026,53,-124.9,7/24/60,7/27/60,LTG,3237.40,CAR,INT,14,202,974
1960,8,10,BC,4010218,54.2,-120.8,8/10/60,8/11/60,LTG,971.20,PrG,INT,14,200,970
1960,7,13,BC,4030128,53.2,-120.3,7/13/60,7/16/60,LTG,821.50,PrG,INT,14,205,985
1960,7,30,BC,4030173,53.7,-120,7/30/60,8/1/60,LTG,1456.80,PrG,INT,14,206,993
